team,date,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing
FC Aarau,2010-02-22 00:00:00,60,,50
FC Aarau,2014-09-19 00:00:00,52,48.0,56
FC Aarau,2015-09-10 00:00:00,47,41.0,54
Aberdeen,2010-02-22 00:00:00,70,,70
Aberdeen,2011-02-22 00:00:00,47,,52
Aberdeen,2012-02-22 00:00:00,58,,62
Aberdeen,2013-09-20 00:00:00,62,,45
Aberdeen,2014-09-19 00:00:00,58,64.0,62
Aberdeen,2015-09-10 00:00:00,59,64.0,53
AC Ajaccio,2010-02-22 00:00:00,60,,40
AC Ajaccio,2011-02-22 00:00:00,65,,45
AC Ajaccio,2012-02-22 00:00:00,59,,52
AC Ajaccio,2013-09-20 00:00:00,59,,52
AC Ajaccio,2014-09-19 00:00:00,59,57.0,52
AC Ajaccio,2015-09-10 00:00:00,59,57.0,52
Milan,2010-02-22 00:00:00,45,,30
Milan,2011-02-22 00:00:00,65,,50
Milan,2012-02-22 00:00:00,45,,50
Milan,2013-09-20 00:00:00,48,,54
Milan,2014-09-19 00:00:00,48,70.0,52
Milan,2015-09-10 00:00:00,48,70.0,52
Académica de Coimbra,2010-02-22 00:00:00,30,,30
Académica de Coimbra,2011-02-22 00:00:00,30,,50
Académica de Coimbra,2012-02-22 00:00:00,45,,44
Académica de Coimbra,2013-09-20 00:00:00,45,,44
Académica de Coimbra,2014-09-19 00:00:00,52,53.0,44
Académica de Coimbra,2015-09-10 00:00:00,53,53.0,44
ADO Den Haag,2010-02-22 00:00:00,30,,35
ADO Den Haag,2011-02-22 00:00:00,53,,53
ADO Den Haag,2012-02-22 00:00:00,38,,44
ADO Den Haag,2013-09-20 00:00:00,38,,47
ADO Den Haag,2014-09-19 00:00:00,58,47.0,55
ADO Den Haag,2015-09-10 00:00:00,56,40.0,66
Ajax,2010-02-22 00:00:00,30,,30
Ajax,2011-02-22 00:00:00,40,,38
Ajax,2012-02-22 00:00:00,31,,33
Ajax,2013-09-20 00:00:00,35,,33
Ajax,2014-09-19 00:00:00,40,40.0,30
Ajax,2015-09-10 00:00:00,35,43.0,39
UD Almería,2010-02-22 00:00:00,65,,45
UD Almería,2011-02-22 00:00:00,55,,53
UD Almería,2012-02-22 00:00:00,42,,70
UD Almería,2013-09-20 00:00:00,46,,65
UD Almería,2014-09-19 00:00:00,46,41.0,65
UD Almería,2015-09-10 00:00:00,46,41.0,65
RSC Anderlecht,2010-02-22 00:00:00,50,,35
RSC Anderlecht,2011-02-22 00:00:00,50,,52
RSC Anderlecht,2012-02-22 00:00:00,52,,41
RSC Anderlecht,2013-09-20 00:00:00,52,,41
RSC Anderlecht,2014-09-19 00:00:00,52,46.0,51
RSC Anderlecht,2015-09-10 00:00:00,52,46.0,51
Angers SCO,2010-02-22 00:00:00,45,,35
Angers SCO,2011-02-22 00:00:00,65,,50
Angers SCO,2012-02-22 00:00:00,50,,50
Angers SCO,2013-09-20 00:00:00,50,,50
Angers SCO,2014-09-19 00:00:00,48,61.0,50
Angers SCO,2015-09-10 00:00:00,48,61.0,50
Arka Gdynia,2010-02-22 00:00:00,30,,45
Arka Gdynia,2011-02-22 00:00:00,46,,37
AC Arles-Avignon,2010-02-22 00:00:00,50,,65
AC Arles-Avignon,2011-02-22 00:00:00,50,,65
AC Arles-Avignon,2012-02-22 00:00:00,23,,33
AC Arles-Avignon,2013-09-20 00:00:00,41,,48
AC Arles-Avignon,2014-09-19 00:00:00,39,48.0,54
AC Arles-Avignon,2015-09-10 00:00:00,56,46.0,54
DSC Arminia Bielefeld,2010-02-22 00:00:00,40,,65
DSC Arminia Bielefeld,2011-02-22 00:00:00,46,,58
DSC Arminia Bielefeld,2014-09-19 00:00:00,62,49.0,55
FC Arouca,2014-09-19 00:00:00,69,66.0,39
FC Arouca,2015-09-10 00:00:00,65,66.0,39
Arsenal,2010-02-22 00:00:00,66,,30
Arsenal,2011-02-22 00:00:00,75,,40
Arsenal,2012-02-22 00:00:00,25,,32
Arsenal,2013-09-20 00:00:00,30,,29
Arsenal,2014-09-19 00:00:00,59,51.0,26
Arsenal,2015-09-10 00:00:00,59,51.0,30
Aston Villa,2010-02-22 00:00:00,70,,59
Aston Villa,2011-02-22 00:00:00,65,,50
Aston Villa,2012-02-22 00:00:00,67,,58
Aston Villa,2013-09-20 00:00:00,63,,59
Aston Villa,2014-09-19 00:00:00,66,32.0,72
Aston Villa,2015-09-10 00:00:00,63,37.0,54
Atalanta,2010-02-22 00:00:00,35,,40
Atalanta,2011-02-22 00:00:00,65,,50
Atalanta,2012-02-22 00:00:00,40,,50
Atalanta,2013-09-20 00:00:00,64,,36
Atalanta,2014-09-19 00:00:00,64,45.0,37
Atalanta,2015-09-10 00:00:00,64,45.0,37
Athletic Club de Bilbao,2010-02-22 00:00:00,60,,45
Athletic Club de Bilbao,2011-02-22 00:00:00,70,,69
Athletic Club de Bilbao,2012-02-22 00:00:00,42,,59
Athletic Club de Bilbao,2013-09-20 00:00:00,46,,38
Athletic Club de Bilbao,2014-09-19 00:00:00,46,41.0,38
Athletic Club de Bilbao,2015-09-10 00:00:00,46,46.0,39
Atlético Madrid,2010-02-22 00:00:00,64,,30
Atlético Madrid,2011-02-22 00:00:00,57,,54
Atlético Madrid,2012-02-22 00:00:00,47,,51
